# Time	forces(pressure, viscous) moment(pressure, viscous)
0.052	(((154.34269 -3.6644386 0) (0 0 0)) ((0.18322193 7.7171343 1.3872156e-08) (0 0 0)))
0.0525	(((154.34214 -3.639727 0) (0 0 0)) ((0.18198635 7.7171071 1.3896726e-08) (0 0 0)))
0.053	(((154.34188 -3.6107098 0) (0 0 0)) ((0.18053549 7.717094 1.3920813e-08) (0 0 0)))
0.0535	(((154.3414 -3.5791516 0) (0 0 0)) ((0.17895758 7.7170702 1.3942457e-08) (0 0 0)))
0.054	(((154.34103 -3.5485868 0) (0 0 0)) ((0.17742934 7.7170517 1.396061e-08) (0 0 0)))
0.0545	(((154.341 -3.5212929 0) (0 0 0)) ((0.17606465 7.71705 1.3973435e-08) (0 0 0)))
0.055	(((154.34139 -3.4992221 0) (0 0 0)) ((0.17496111 7.7170693 1.3980069e-08) (0 0 0)))
0.0555	(((154.34201 -3.4837457 0) (0 0 0)) ((0.17418728 7.7171007 1.3980385e-08) (0 0 0)))
0.056	(((154.34268 -3.4759838 0) (0 0 0)) ((0.17379919 7.7171342 1.397472e-08) (0 0 0)))
0.0565	(((154.3433 -3.4762317 0) (0 0 0)) ((0.17381158 7.7171652 1.3963635e-08) (0 0 0)))
0.057	(((154.34372 -3.4841792 0) (0 0 0)) ((0.17420896 7.717186 1.3948205e-08) (0 0 0)))
0.0575	(((154.34371 -3.4986192 0) (0 0 0)) ((0.17493096 7.7171853 1.3929782e-08) (0 0 0)))
0.058	(((154.34334 -3.5186132 0) (0 0 0)) ((0.17593066 7.7171668 1.3910256e-08) (0 0 0)))
0.0585	(((154.34243 -3.5420674 0) (0 0 0)) ((0.17710337 7.7171216 1.3890994e-08) (0 0 0)))
0.059	(((154.34159 -3.5672096 0) (0 0 0)) ((0.17836048 7.7170794 1.3873597e-08) (0 0 0)))
0.0595	(((154.34079 -3.5915276 0) (0 0 0)) ((0.17957638 7.7170396 1.385913e-08) (0 0 0)))
0.06	(((154.34003 -3.6131684 0) (0 0 0)) ((0.18065842 7.7170017 1.3848906e-08) (0 0 0)))
0.0605	(((154.33941 -3.6306556 0) (0 0 0)) ((0.18153278 7.7169705 1.3843567e-08) (0 0 0)))
0.061	(((154.33909 -3.6424047 0) (0 0 0)) ((0.18212023 7.7169546 1.3843123e-08) (0 0 0)))
0.0615	(((154.33884 -3.6480088 0) (0 0 0)) ((0.18240044 7.716942 1.3847667e-08) (0 0 0)))
0.062	(((154.33877 -3.6473717 0) (0 0 0)) ((0.18236859 7.7169386 1.3856402e-08) (0 0 0)))
0.0625	(((154.33883 -3.6402559 0) (0 0 0)) ((0.1820128 7.7169414 1.3868371e-08) (0 0 0)))
0.063	(((154.33887 -3.6278045 0) (0 0 0)) ((0.18139022 7.7169433 1.3882704e-08) (0 0 0)))
0.0635	(((154.33875 -3.6108235 0) (0 0 0)) ((0.18054117 7.7169377 1.3898012e-08) (0 0 0)))
0.064	(((154.33873 -3.5911626 0) (0 0 0)) ((0.17955813 7.7169363 1.3913245e-08) (0 0 0)))
0.0645	(((154.33885 -3.5699985 0) (0 0 0)) ((0.17849992 7.7169426 1.3926972e-08) (0 0 0)))
0.065	(((154.33872 -3.5497083 0) (0 0 0)) ((0.17748541 7.7169362 1.3938437e-08) (0 0 0)))
0.0655	(((154.33877 -3.5317713 0) (0 0 0)) ((0.17658857 7.7169387 1.3946432e-08) (0 0 0)))
0.066	(((154.33907 -3.5175005 0) (0 0 0)) ((0.17587502 7.7169537 1.3950352e-08) (0 0 0)))
0.0665	(((154.33947 -3.5076222 0) (0 0 0)) ((0.17538111 7.7169735 1.395015e-08) (0 0 0)))
0.067	(((154.3399 -3.5029073 0) (0 0 0)) ((0.17514537 7.7169948 1.3946081e-08) (0 0 0)))
0.0675	(((154.34023 -3.5034621 0) (0 0 0)) ((0.17517311 7.7170117 1.3938488e-08) (0 0 0)))
0.068	(((154.34037 -3.5090315 0) (0 0 0)) ((0.17545158 7.7170185 1.3928135e-08) (0 0 0)))
0.0685	(((154.34016 -3.5188835 0) (0 0 0)) ((0.17594417 7.717008 1.391597e-08) (0 0 0)))
0.069	(((154.33992 -3.5324029 0) (0 0 0)) ((0.17662015 7.7169962 1.3903164e-08) (0 0 0)))
0.0695	(((154.33944 -3.5482141 0) (0 0 0)) ((0.1774107 7.7169722 1.389055e-08) (0 0 0)))
0.07	(((154.33887 -3.565114 0) (0 0 0)) ((0.1782557 7.7169433 1.3879153e-08) (0 0 0)))
0.0705	(((154.33848 -3.5812265 0) (0 0 0)) ((0.17906133 7.7169242 1.3869713e-08) (0 0 0)))
0.071	(((154.33815 -3.5953883 0) (0 0 0)) ((0.17976942 7.7169075 1.3863207e-08) (0 0 0)))
0.0715	(((154.33788 -3.6067825 0) (0 0 0)) ((0.18033912 7.7168941 1.3860039e-08) (0 0 0)))
0.072	(((154.33781 -3.6144315 0) (0 0 0)) ((0.18072158 7.7168904 1.386007e-08) (0 0 0)))
0.0725	(((154.33783 -3.6178351 0) (0 0 0)) ((0.18089175 7.7168913 1.3863285e-08) (0 0 0)))
0.073	(((154.33798 -3.616866 0) (0 0 0)) ((0.1808433 7.7168989 1.3869359e-08) (0 0 0)))
0.0735	(((154.33816 -3.6118057 0) (0 0 0)) ((0.18059028 7.716908 1.3877654e-08) (0 0 0)))
0.074	(((154.33836 -3.6033013 0) (0 0 0)) ((0.18016507 7.7169179 1.38874e-08) (0 0 0)))
0.0745	(((154.33842 -3.5917238 0) (0 0 0)) ((0.17958619 7.7169208 1.3897664e-08) (0 0 0)))
0.075	(((154.33855 -3.5784914 0) (0 0 0)) ((0.17892457 7.7169277 1.3907926e-08) (0 0 0)))
0.0755	(((154.33858 -3.5643194 0) (0 0 0)) ((0.17821597 7.7169289 1.3917068e-08) (0 0 0)))
0.076	(((154.33857 -3.5508295 0) (0 0 0)) ((0.17754148 7.7169286 1.3924662e-08) (0 0 0)))
0.0765	(((154.33864 -3.5389448 0) (0 0 0)) ((0.17694724 7.7169322 1.3929879e-08) (0 0 0)))
0.077	(((154.33883 -3.5294588 0) (0 0 0)) ((0.17647294 7.7169414 1.3932389e-08) (0 0 0)))
0.0775	(((154.33903 -3.5234751 0) (0 0 0)) ((0.17617375 7.7169513 1.3932275e-08) (0 0 0)))
0.078	(((154.33927 -3.5206706 0) (0 0 0)) ((0.17603353 7.7169636 1.3929201e-08) (0 0 0)))
0.0785	(((154.33943 -3.5213444 0) (0 0 0)) ((0.17606722 7.7169715 1.3923987e-08) (0 0 0)))
0.079	(((154.3394 -3.5252246 0) (0 0 0)) ((0.17626123 7.7169701 1.3917002e-08) (0 0 0)))
0.0795	(((154.33926 -3.5322439 0) (0 0 0)) ((0.17661219 7.7169632 1.3908993e-08) (0 0 0)))
