# Time	forces(pressure, viscous) moment(pressure, viscous)
0.031	(((267.25066 6.5805771 0) (3.9417661 0.059055489 -1.9564082e-17)) ((-0.32902885 13.362533 -1.7618283e-08) (-0.0029527744 0.19708831 0.0025790024)))
0.0315	(((266.66215 6.1853448 0) (3.9337224 0.060997648 -1.9417301e-17)) ((-0.30926724 13.333108 -1.647431e-08) (-0.0030498824 0.19668612 0.0027803827)))
0.032	(((266.06508 5.3574809 0) (3.9259074 0.059098944 -1.9276644e-17)) ((-0.26787405 13.303254 -1.5238306e-08) (-0.0029549472 0.19629537 0.0028726709)))
0.0325	(((265.44578 4.1023712 0) (3.9186571 0.053259638 -1.914477e-17)) ((-0.20511856 13.272289 -1.3974869e-08) (-0.0026629819 0.19593286 0.0028613447)))
0.033	(((264.79456 2.4478283 0) (3.912185 0.04356126 -1.9023967e-17)) ((-0.12239142 13.239728 -1.2755196e-08) (-0.002178063 0.19560925 0.0027553656)))
0.0335	(((264.11556 0.44481356 0) (3.9061829 0.030182506 -1.891442e-17)) ((-0.022240678 13.205778 -1.1651565e-08) (-0.0015091253 0.19530915 0.0025536666)))
0.034	(((263.42457 -1.8407876 0) (3.9003574 0.013394965 -1.8819005e-17)) ((0.092039379 13.171229 -1.0721202e-08) (-0.00066974823 0.19501787 0.0022478093)))
0.0345	(((262.72982 -4.3265371 0) (3.8944473 -0.0064209292 -1.8744431e-17)) ((0.21632685 13.136491 -1.0021214e-08) (0.00032104646 0.19472236 0.0018219911)))
0.035	(((262.05513 -6.9169069 0) (3.8883603 -0.028647657 -1.8693964e-17)) ((0.34584535 13.102757 -9.5989071e-09) (0.0014323828 0.19441801 0.0012809754)))
0.0355	(((261.42175 -9.4989259 0) (3.88208 -0.052429915 -1.8669796e-17)) ((0.47494629 13.071087 -9.4889497e-09) (0.0026214957 0.194104 0.00064548218)))
0.036	(((260.84113 -11.95317 0) (3.8755809 -0.076757258 -1.8668742e-17)) ((0.59765851 13.042056 -9.7028667e-09) (0.0038378629 0.19377904 -5.5777977e-05)))
0.0365	(((260.33972 -14.144332 0) (3.8691374 -0.1004191 -1.869352e-17)) ((0.7072166 13.016986 -1.0241399e-08) (0.0050209549 0.19345687 -0.00078302342)))
0.037	(((259.92617 -15.939364 0) (3.8633452 -0.1221405 -1.8740151e-17)) ((0.79696818 12.996308 -1.1080635e-08) (0.006107025 0.19316726 -0.0014942367)))
0.0375	(((259.59372 -17.211638 0) (3.8585796 -0.14070461 -1.8809727e-17)) ((0.86058191 12.979686 -1.2192208e-08) (0.0070352303 0.19292898 -0.002156528)))
0.038	(((259.32964 -17.854653 0) (3.8550105 -0.15500824 -1.8901456e-17)) ((0.89273263 12.966482 -1.3520427e-08) (0.007750412 0.19275053 -0.0027446594)))
0.0385	(((259.09179 -17.773537 0) (3.8525748 -0.16399889 -1.9010436e-17)) ((0.88867685 12.954589 -1.4963551e-08) (0.0081999443 0.19262874 -0.0032304174)))
0.039	(((258.84704 -16.903909 0) (3.851043 -0.16675545 -1.9130589e-17)) ((0.84519545 12.942352 -1.638631e-08) (0.0083377725 0.19255215 -0.0035856744)))
0.0395	(((258.57124 -15.213056 0) (3.8501299 -0.16254243 -1.9255384e-17)) ((0.76065278 12.928562 -1.7655962e-08) (0.0081271215 0.19250649 -0.0037819043)))
0.04	(((258.24334 -12.700178 0) (3.8495073 -0.15086168 -1.9378065e-17)) ((0.63500891 12.912167 -1.867033e-08) (0.0075430839 0.19247536 -0.0037931646)))
0.0405	(((257.84977 -9.4055217 0) (3.8487721 -0.13158519 -1.9491972e-17)) ((0.47027608 12.892488 -1.938472e-08) (0.0065792593 0.19243861 -0.0036137967)))
0.041	(((257.38954 -5.4066303 0) (3.8475887 -0.10490071 -1.9593614e-17)) ((0.27033152 12.869477 -1.9787054e-08) (0.0052450354 0.19237944 -0.0032409454)))
0.0415	(((256.86787 -0.82611938 0) (3.8457201 -0.071316625 -1.9672461e-17)) ((0.041305969 12.843394 -2.0044487e-08) (0.0035658312 0.19228601 -0.0026630948)))
0.042	(((256.30133 4.1765179 0) (3.8428983 -0.03170258 -1.9721923e-17)) ((-0.20882589 12.815066 -2.0173246e-08) (0.001585129 0.19214492 -0.0018794254)))
0.0425	(((255.71329 9.4004889 0) (3.8390543 0.012533783 -1.9743057e-17)) ((-0.47002445 12.785664 -2.0039764e-08) (-0.00062668917 0.19195271 -0.00091809382)))
0.043	(((255.15037 14.601319 0) (3.8342738 0.059566508 -1.972831e-17)) ((-0.73006594 12.757519 -1.9653714e-08) (-0.0029783254 0.19171369 0.0001720095)))
0.0435	(((254.66379 19.521453 0) (3.8287672 0.10727034 -1.9670552e-17)) ((-0.97607266 12.73319 -1.9118376e-08) (-0.0053635169 0.19143836 0.0013349437)))
0.044	(((254.29387 23.908552 0) (3.8227783 0.15345021 -1.9560121e-17)) ((-1.1954276 12.714693 -1.8539385e-08) (-0.0076725103 0.19113892 0.0025256917)))
0.0445	(((254.0846 27.514528 0) (3.8164091 0.19587896 -1.9383636e-17)) ((-1.3757264 12.70423 -1.7990757e-08) (-0.0097939482 0.19082045 0.0037060938)))
0.045	(((254.06799 30.103054 0) (3.8105233 0.23233985 -1.9108772e-17)) ((-1.5051527 12.7034 -1.7387115e-08) (-0.011616993 0.19052616 0.0048405833)))
0.0455	(((254.17908 31.458917 0) (3.8067186 0.26041926 -1.8785927e-17)) ((-1.5729459 12.708954 -1.6232253e-08) (-0.013020963 0.19033593 0.0058421273)))
0.046	(((254.37353 31.409907 0) (3.805472 0.27856317 -1.8476286e-17)) ((-1.5704953 12.718677 -1.429683e-08) (-0.013928159 0.1902736 0.0067130228)))
0.0465	(((254.58753 29.825327 0) (3.8066967 0.28518219 -1.8200655e-17)) ((-1.4912663 12.729377 -1.1812587e-08) (-0.01425911 0.19033484 0.0074163997)))
0.047	(((254.72978 26.585384 0) (3.8097521 0.2788161 -1.7946584e-17)) ((-1.3292692 12.736489 -9.4124543e-09) (-0.013940805 0.1904876 0.0078927979)))
0.0475	(((254.75609 21.937652 0) (3.8149608 0.25925411 -1.7560999e-17)) ((-1.0968826 12.737805 -7.8323782e-09) (-0.012962706 0.19074804 0.0082488266)))
0.048	(((254.55831 15.75686 0) (3.8202772 0.22513565 -1.7198596e-17)) ((-0.787843 12.727915 -6.0615351e-09) (-0.011256782 0.19101386 0.0082270028)))
0.0485	(((254.09941 8.2407436 0) (3.8243153 0.17655987 -1.6897265e-17)) ((-0.41203718 12.704971 -4.7923364e-09) (-0.0088279933 0.19121576 0.0077799654)))
0.049	(((253.45775 -0.34302056 0) (3.8268435 0.11462407 -1.6697034e-17)) ((0.017151028 12.672888 -4.24726e-09) (-0.0057312033 0.19134217 0.0069047489)))
0.0495	(((252.78163 -9.6734962 0) (3.8281391 0.04111492 -1.6608717e-17)) ((0.48367481 12.639081 -4.5873338e-09) (-0.002055746 0.19140695 0.0056177104)))
0.05	(((252.09676 -19.392096 0) (3.8280206 -0.041407614 -1.6637425e-17)) ((0.9696048 12.604838 -5.4051502e-09) (0.0020703807 0.19140103 0.0039524919)))
